Energy,XFEL Harm,Fund Sq,Bin 1,Bin 1 err,Bin 3,Bin 3 err,Bin 5,Bin 5 err,Bin 7,Bin 7 err,Bin 9,Bin 9 err,Bin 11,Bin 11 err,Bin 13,Bin 13 err,Bin 15,Bin 15 err
1.063875769849386643e+03,3.577979960880906418e+01,3.022755500857952882e+01,1.669320296889892363e+00,5.176241777706731995e+00,-2.721688314940469769e-02,1.362527752158165351e+00,3.773147673586568995e+00,3.209094390927033746e+00,-1.447660308614982627e+00,7.064878777232055818e+00,-3.860794800265144655e+00,6.600118180305344140e+00,-2.299241728361389736e+00,8.341775810614851849e+00,3.113596456018721259e+00,4.702898916546081054e+00,1.529103273913212435e+00,7.623422091855053928e+00
1.064452593920014124e+03,3.843521514015401408e+01,3.488817941708748549e+01,1.440176303837581884e+00,2.131686579780299517e+00,3.234438023770040527e+00,4.065600072481100113e+00,3.659499395478434280e+00,5.203442007706529537e+00,-1.945279632858093466e+00,7.071269247840263894e+00,-4.403777124135473287e+00,6.397254770182645878e+00,-8.173857848465028164e-01,7.444422390172205084e+00,4.647864177067636327e+00,5.066002358459527066e+00,2.298989710176092327e+00,8.054620267319561933e+00
1.065029950118567513e+03,4.105270648782587273e+01,3.805972928279918222e+01,7.667239119926184010e+00,2.662886195120602650e+00,4.821518880167984800e-01,4.613657383987922245e+00,3.080566618843962434e+00,5.034883681537106526e+00,-2.291532593470236634e+00,9.186793495158376288e+00,-3.198069897458604149e+00,6.952885485965395240e+00,2.162362031364371828e-01,7.525489720746696420e+00,2.862247135722858271e+00,4.152377389478118630e+00,3.116348500387952303e+00,1.052466633168047849e+01
1.065607839181729332e+03,4.354440387647404975e+01,3.868287283274777622e+01,8.585798347592655588e+00,3.486785064526169986e+00,-8.268533086630114326e-02,2.017370405431530234e+00,3.355547645875174734e+00,4.208660600413656638e+00,-5.661570002009521652e+00,6.447313603818110472e+00,-2.521815198627820109e+00,8.780464388937136988e+00,-1.445784328764261772e+00,5.940671992631160414e+00,6.488354729539935306e+00,6.342483481772450915e+00,6.509114058862725649e+00,1.172780208399339763e+01
1.066186261847542937e+03,4.600973292047373775e+01,3.751712341933920669e+01,6.666071959475911690e+00,2.403748065954137980e-01,2.796605735765211875e-02,1.997897504869112772e+00,1.099001330778776264e+00,2.599131004919602805e+00,-3.849892758439599216e+00,5.597085925896486458e+00,-6.588713437047791777e-01,5.001995819568055168e+00,-4.041149532841491698e+00,6.266968301238416750e+00,7.274893752768586630e+00,9.557595012333456097e+00,6.826402053543129789e+00,1.218110418685440344e+01
1.066765218855414332e+03,4.833692463680663565e+01,3.493619340598468170e+01,5.420671591454215843e+00,2.753270115124380801e+00,1.968678262356511111e+00,2.667086576384591012e+00,8.277403763155485317e-01,3.942421907803862258e+00,-4.117122433807783644e+00,8.832373615424474522e+00,-8.083799135443238137e-01,2.216571635713735056e+00,1.041072283677834776e+00,5.981389994890376371e+00,8.752495421091831318e+00,9.647367038147674378e+00,4.524504568836751339e+00,1.519225942224784376e+01
1.067344710946117175e+03,5.080171862391756576e+01,3.203558759151938062e+01,6.716704105280219217e+00,7.192528252053972615e+00,2.006327480807927000e+00,3.902097214446895279e+00,1.254196019029471643e+00,4.517578527062535265e+00,-2.073063516065644762e+00,7.941194090096954206e+00,-1.977068856084713389e+00,1.048864632611806069e+00,-1.965575216114908985e-01,8.261747292196563563e+00,6.296447356491587932e+00,1.177291984757282073e+01,-2.859620437644915913e+00,1.198510936761997137e+01
1.067924738861794594e+03,5.285507471047164785e+01,2.961324569449639910e+01,6.736731197670358995e+00,5.648364618699649675e+00,-1.739111390983594019e+00,2.443117501996840080e+00,-1.167514869699663338e+00,6.935852826964564066e+00,-2.247920118775444676e-01,5.008936581142449107e+00,5.891709432033659377e-01,2.985478550606750936e+00,-1.353099791856256617e+00,1.225455336099690662e+01,4.424169678031432795e+00,9.718752885701876565e+00,-1.394297605060144996e+01,9.666230615901360679e+00
1.068505303345962830e+03,5.459999945434526580e+01,2.765481491427098604e+01,2.926353314876776412e+00,1.831243101543840179e+00,1.698664983178613141e+00,5.367743888529115104e+00,1.824647799927348046e-01,5.581803486289691030e+00,-2.388796262804911752e+00,6.202791583258047581e+00,1.438078357340894398e+00,2.708205599097909477e+00,-2.728081137356999530e+00,1.138652988892910756e+01,1.302060197877466408e+00,7.949926185928512190e+00,-1.336405541470765002e+01,1.468436008480223620e+01
1.069086405143514185e+03,5.561383265791335617e+01,2.568519205077704726e+01,8.244578012090318708e+00,9.573059610610989978e+00,7.350153092581285241e-01,2.949827880959878801e+00,4.938402765490735646e+00,5.293804999811591472e+00,-4.756793185934195201e+00,6.206185167837853456e+00,2.365879995188502338e+00,3.269911638609051874e+00,-1.646940052392342979e+00,9.912387613962639676e+00,1.641374262682120388e+00,7.304811764738397883e+00,-8.561079132064397967e+00,1.789148253906086339e+01
