,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos
574.6,-0.06127,0.87225,0.57559,1.55603,21.35547,53.07157,73.13593,56.71069,0.80265,1.91851,3.77518,3.56717,13.9445,32.22327,38.86202,40.42081,52.67089
574.8,0.25229,0.61099,0.00802,3.375,17.6888,50.602,72.56956,58.26241,1.05044,1.27816,4.44482,1.71761,14.76432,36.3915,43.08132,44.0064,53.02804
575,-1.0189,0.5209,1.07108,2.22845,16.62043,50.93243,75.88814,50.36586,0.21858,1.91851,2.96268,4.73531,15.06162,32.12047,45.16026,36.54694,54.88518
575.2,-0.40025,-0.38901,1.4855,3.96983,18.59479,54.84548,76.50761,54.45207,1.50177,2.2343,2.39125,5.56717,19.22378,28.46626,46.02868,36.18658,55.01911
575.4,0.32008,0.18757,2.62964,3.61638,22.11615,56.34983,81.48106,62.19345,2.76726,2.59395,3.80196,4.77956,16.78234,27.52234,51.89711,40.42982,53.65304
575.6,0.70992,0.51189,1.57559,0.86638,19.43239,59.402,87.09168,60.94345,1.52832,3.61149,3.96268,5.55832,15.02559,32.92421,53.6164,45.79919,54.20661
575.8,0.76076,0.16054,0.14315,2.89224,26.06487,57.28896,85.43681,66.2969,0.69646,2.81325,3.23054,7.46982,14.69225,29.25131,46.80061,53.42081,56.04589
576,1.32008,1.03441,1.26928,1.35776,29.32983,63.66287,86.72,69.48655,1.50177,1.64658,2.90018,8.67336,18.15171,27.41019,43.9936,57.32171,59.02804
576.2,2.32856,2.46685,0.54856,2.80603,28.45803,67.94983,99.76425,70.65034,2.9354,1.08518,2.73946,8.18664,19.47604,28.41953,44.69535,52.64604,56.02804
576.4,1.06585,2.38577,1.39541,4.99569,30.04778,67.17591,104.6315,68.21931,2.24513,2.87465,1.73946,8.11584,18.62919,37.38215,50.31816,61.53793,60.59054
576.6,1.70144,1.13351,0.92694,3.54741,31.87684,81.74113,98.56956,79.32276,-0.1708,3.62904,2.81089,5.9831,20.38595,39.74664,54.72167,60.66405,62.65304
576.8,-0.32398,0.89928,-0.49649,6.21121,33.89393,86.50635,115.22442,81.96931,0.19204,1.72553,6.06982,7.71761,17.96252,39.84944,58.82693,57.69108,64.08161
577,-0.34941,1.98036,1.46748,4.97845,42.75718,80.47157,125.26867,77.84,3.09469,2.22553,4.79304,7.61142,16.36793,43.68121,49.40588,63.96135,68.00125
577.2,0.89636,0.02541,0.13414,4.125,43.77427,80.30635,117.06513,80.82276,2.10354,1.82202,3.46268,7.17779,20.0436,42.73729,51.86202,66.12351,68.72446
577.4,1.73534,1.2236,-0.36135,5.64224,41.58624,83.35852,116.48106,80.21069,0.49292,2.96237,1.75732,12.73531,20.43099,40.98963,56.92342,66.1055,72.36732
577.6,1.5828,2.57495,2.44946,9.36638,43.37256,91.83678,128.05628,91.89172,1.62566,3.82202,4.33768,11.54947,20.59315,44.38215,50.94096,66.43883,71.37625
577.8,3.15059,5.43081,3.29631,6.24569,47.39821,86.74113,130.00319,90.28828,1.77611,3.43605,3.59661,9.46982,22.01658,43.09243,54.26553,68.42982,79.95661
578,2.36246,1.9173,1.46748,6.65086,46.88538,93.46287,130.86159,95.84,0.82035,2.41851,4.40911,9.55832,24.29586,45.95224,58.88833,75.59198,84.43875
578.2,2.76076,1.07946,0.12514,6.11638,52.69735,96.13243,143.89699,101.67621,2.10354,3.70798,3.32875,9.40788,21.61117,49.74664,57.19535,76.84423,83.06375
578.4,0.16754,3.39477,0.06207,6.19397,60.09051,100.54983,151.98549,109.24517,1.44867,4.22553,4.04304,10.34593,21.66523,52.95224,64.90588,85.79018,85.39411
578.6,2.09975,2.40378,3.22423,6.85776,65.7059,113.85417,159.53416,117.6331,1.07699,3.63781,3.84661,9.53177,20.10667,54.91486,73.30939,88.32171,90.59054
578.8,1.87093,2.59297,1.62964,7.84914,64.85974,112.34113,173.52531,119.17621,1.59027,4.19921,7.92696,9.04504,23.48505,50.27935,76.82693,90.1145,92.63518
579,2.15059,4.0164,1.24225,10.32328,69.84265,113.78461,172.24212,124.84862,1.36018,4.09395,7.24839,10.31053,25.62018,48.12047,88.18658,94.03342,101.07268
579.2,0.91331,3.8182,0.53955,11.76293,80.35547,109.86287,182.95009,129.0469,2.22743,3.56763,5.61446,13.99195,21.21477,57.07374,84.23921,101.97036,94.54589
579.4,0.59127,1.80919,3.50351,9.88362,74.71444,129.65417,190.67575,123.90034,2.92655,5.68167,7.18589,11.81496,24.20577,59.5971,81.28307,113.13252,105.01911
579.6,2.85398,1.54793,2.42243,9.65948,81.55205,137.26287,191.18903,130.21931,1.36018,5.4536,6.56982,13.10699,31.02559,61.27,98.555,119.34874,109.39411
579.8,2.71839,1.75514,3.62964,12.32328,88.78282,141.54983,202.48991,148.15897,2.55487,4.015,6.07875,10.64681,35.30486,65.07374,101.78307,113.92532,121.77804
580,3.5828,1.25063,3.95396,11.07328,88.21017,139.49765,212.08283,142.02966,2.9531,2.89219,6.80196,13.57602,36.09766,70.81206,105.44974,120.52892,122.85839
