Filter Thickness (um),Log Fund Intensity,Log Harm Intensity,Filter Thickness (um),Best Fit (Fund),Filter Thickness (um),Best Fit (Harm)
,,,6.4004,4.56779,7.31562,4.98981
,,,6.40621,4.56373,7.32392,4.98874
,,,6.41201,4.55967,7.33223,4.98768
,,,6.41782,4.55561,7.34054,4.98661
,,,6.42362,4.55155,7.34885,4.98555
,,,6.42943,4.54749,7.35716,4.98448
,,,6.43524,4.54343,7.36547,4.98341
,,,6.44104,4.53937,7.37377,4.98235
,,,6.44685,4.53531,7.38208,4.98128
,,,6.45265,4.53125,7.39039,4.98022
,,,6.45846,4.52719,7.3987,4.97915
,,,6.46426,4.52313,7.40701,4.97809
,,,6.47007,4.51907,7.41532,4.97702
,,,6.47588,4.51501,7.42362,4.97596
,,,6.48168,4.51095,7.43193,4.97489
,,,6.48749,4.50689,7.44024,4.97383
,,,6.49329,4.50283,7.45686,4.97169
,,,6.4991,4.49877,7.46517,4.97063
,,,6.5049,4.49471,7.47347,4.96956
,,,6.51071,4.49065,7.48178,4.9685
,,,6.51652,4.48659,7.49009,4.96743
,,,6.52232,4.48253,7.4984,4.96637
,,,6.52813,4.47847,7.50671,4.9653
,,,6.53393,4.47441,7.51502,4.96424
,,,6.53974,4.47035,7.52332,4.96317
,,,6.54555,4.46629,7.53163,4.9621
,,,6.55135,4.46223,7.53994,4.96104
,,,6.55716,4.45817,7.54825,4.95997
,,,6.56296,4.45411,7.55656,4.95891
,,,6.56877,4.45005,7.56486,4.95784
,,,6.57457,4.44599,7.57317,4.95678
,,,6.58038,4.44193,7.58148,4.95571
,,,6.58619,4.43786,7.58979,4.95465
,,,6.59199,4.4338,7.5981,4.95358
,,,6.5978,4.42974,7.60641,4.95251
,,,6.6036,4.42568,7.61471,4.95145
,,,6.60941,4.42162,7.62302,4.95038
,,,6.61522,4.41756,7.63133,4.94932
,,,6.62102,4.4135,7.63964,4.94825
,,,6.62683,4.40944,7.64795,4.94719
,,,6.63263,4.40538,7.65626,4.94612
,,,6.63844,4.40132,7.66456,4.94506
,,,6.64424,4.39726,7.67287,4.94399
,,,6.65005,4.3932,7.68118,4.94292
,,,6.65586,4.38914,7.68949,4.94186
,,,6.66166,4.38508,7.6978,4.94079
,,,6.66747,4.38102,7.70611,4.93973
,,,6.67327,4.37696,7.71441,4.93866
,,,6.67908,4.3729,7.72272,4.9376
,,,6.68488,4.36884,7.73103,4.93653
,,,6.69069,4.36478,7.73934,4.93547
,,,6.6965,4.36072,7.74765,4.9344
,,,6.7023,4.35666,7.75596,4.93334
,,,6.70811,4.3526,7.76426,4.93227
,,,6.71391,4.34854,7.77257,4.9312
,,,6.71972,4.34448,7.78088,4.93014
,,,6.72553,4.34042,7.78919,4.92907
,,,6.73133,4.33636,7.7975,4.92801
,,,6.73714,4.3323,7.80581,4.92694
,,,6.74294,4.32824,7.81411,4.92588
,,,6.74875,4.32418,7.82242,4.92481
,,,6.75455,4.32012,7.83073,4.92375
,,,6.76036,4.31606,7.83904,4.92268
,,,6.76617,4.312,7.84735,4.92161
,,,6.77197,4.30793,7.85566,4.92055
,,,6.77778,4.30387,7.86396,4.91948
,,,6.78358,4.29981,7.87227,4.91842
,,,6.78939,4.29575,7.88058,4.91735
,,,6.7952,4.29169,7.88889,4.91629
,,,6.801,4.28763,7.8972,4.91522
,,,6.80681,4.28357,7.90551,4.91416
,,,6.81261,4.27951,7.91381,4.91309
,,,6.81842,4.27545,7.92212,4.91202
,,,6.82422,4.27139,7.93043,4.91096
,,,6.83003,4.26733,7.93874,4.90989
,,,6.83584,4.26327,7.94705,4.90883
,,,6.84164,4.25921,7.95536,4.90776
,,,6.84745,4.25515,7.96366,4.9067
,,,6.85325,4.25109,7.97197,4.90563
,,,6.85906,4.24703,7.98028,4.90457
,,,6.86486,4.24297,7.98859,4.9035
